MÊS,2000,2001,2002,2003,2004,2005,2006,2007,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Janeiro,8117317.868538049,13093982.12156883,9845413.158382252,10216689.00561782,13598425.161211858,13049709.029935563,7295779.515102942,14057307.918363823,9868698.247818725,10794589.43044601,7991970.96182,6436541.273814191,9451603.13985,10681038.808112934,9883863.97260903,2181641.987911373,5144680.665791953,2500610.497163079,5837212.429501039,5136609.029620834,3198851.6570015177,1418142.5859305765,6490193.5788950585,11230363.40578965,7467668.946120187,8106180.480825707
Fevereiro,11556308.367495833,10183084.13792621,11344826.120850334,10970195.14535972,8992661.777180936,14809653.502456069,10022406.527113354,10523692.454555053,11201342.877091022,12059771.268223193,11129969.75044,11707787.959957112,6053343.802156301,9562795.55973337,13697288.924308397,12324671.792463737,9025669.600748096,6160189.02778181,5694627.974526995,3898767.732835834,5099184.189936,4405922.116112306,5789323.4026938,8907191.388016848,7812089.196214577,5747884.062476389
Março,13330798.756304944,11497627.496069662,10995408.069324903,9406063.648256006,13182532.004386589,11111929.257301837,14015277.813219875,15736185.948456692,11403200.639817743,10996728.319559883,11134675.499737391,11748758.015164176,8615144.950967396,10671536.602537256,6941671.312148063,8676905.457696138,7087939.67058809,1365533.3263136423,6704167.499993082,7900016.148830132,4915273.39403787,4035258.3367716824,8635231.650865013,8490619.010664318,9297105.98923654,
Abril,10802330.660492085,8930695.361299979,13482669.590614878,12776008.38733429,17218118.97404859,7886852.487644954,10778183.524063302,11135962.444022285,10297286.367929924,11140789.092009064,11980720.766791977,13616388.25173,12709135.127708305,11501243.85805204,11270727.804885678,5873483.564263322,4574352.173443206,3773729.58533539,2183421.682491668,3304518.2636477468,5353007.504145458,7068551.783087706,5178928.502652518,11633391.143493094,11933738.258330671,
Maio,13581695.540771922,10345557.353277607,15267499.655888626,6010542.560955324,19185766.928073715,15629296.341640161,12509358.194542816,12391789.347098796,15522718.664728716,13585041.020032335,9937661.377891168,11500326.34286,9760249.301265707,14975047.885451442,9470682.647681152,6890568.472877624,6209220.467942844,5337326.575014491,4769655.228232997,6993001.864121044,1844034.7005563062,8136667.693080507,6536472.498720436,8956445.476769542,10110801.593253564,
Junho,15621300.603227662,16805998.48730869,7973653.757629709,9565360.194258858,15669362.215240957,8066729.792965152,10503594.794571893,10232111.82231245,16932337.343567465,12718348.958446734,11462036.368725797,10589423.47904,14247626.17450832,8765769.244657716,12218160.241655646,11653419.031073155,7754909.286879854,5831277.176558219,5199151.381812918,7331739.643413676,10372823.512002941,5125940.856681589,8360189.16683553,6207190.7853273405,7672117.170432107,
Julho,12198358.49975296,11852621.212359985,11016680.748769144,8800379.56880518,16008658.684488583,11275664.03266143,9335067.11284301,16949668.3367427,14574036.05262634,13225776.760486925,14852220.27601671,6453565.20335,11759133.84468339,28317309.1757071,16628253.856421582,8270377.114392465,4092564.9730649744,6788327.013012131,3995793.550120098,9006699.221546791,4114829.1913279532,9022929.663842496,6890305.390281612,10253452.893101625,8010398.9877537545,
Agosto,17317555.817028027,16251615.737265624,8168479.705110307,10658830.785010155,14594555.061962606,14011392.158357559,16503763.049992582,10929409.095423222,14889857.5693891,8988204.892729327,6757788.990229726,8911882.107222268,4276550.000909479,6242984.366775312,9923800.113182079,7902219.434609055,3560310.6987553644,4053721.5006489856,9646392.854647093,3434629.046036063,2098045.110714047,3311355.7717233766,7136267.004374083,8912058.679787695,6840528.958707634,
Setembro,13461241.662252944,11516423.493419759,12971390.342678908,13117470.295598244,11737167.102961272,8074008.705209414,8611651.846931122,13549212.962148938,10907488.432814471,15390545.304133581,11123881.241409155,9065257.85041,9042599.129981915,7595172.552671202,17852995.123682667,9474979.140948687,4694234.715720528,3357603.9013524633,4954165.303649044,5509242.469460115,1902177.7559947413,4654742.263855364,10252577.862134201,7634886.734273847,8747804.731503576,
Outubro,10692574.590560207,16708970.56750416,12548431.105142847,14956213.660979278,13716049.819583906,9655338.207846072,11306621.258505492,17682384.21854081,13319429.44119475,11961374.925608825,8172376.8881399995,12148057.26647,3567831.4951059693,19246988.770942986,9322976.773790585,20393653.728739563,4856920.402929943,5769642.455739039,10614083.019170487,2973659.08660133,2226516.603699894,3863134.3266231655,11642366.39897226,12083590.199264718,9902159.53082739,
Novembro,9272109.471611604,11911654.140938241,12051709.632748341,12571269.757557858,11633625.65935529,11640221.984765483,15130261.425560908,14012799.721281847,7559141.7952010585,10529650.28030967,10268278.781085938,11165821.66744,13796619.821858928,8641955.372671938,13019716.591499744,13159003.784182057,5137679.051462967,5434160.909289931,2268721.214385325,6279330.930451515,4638528.502634012,4765600.99388033,10464334.275883328,6864124.270750129,10042994.562940517,
Dezembro,9348915.010188527,13083515.05648123,13059352.732790004,6486024.581828682,13738234.284932923,13002371.087232083,5496134.295789184,12432734.288755445,12732149.156753868,12122259.772020873,8836811.638674684,7928883.224048501,10667782.228686973,11636537.441822266,13921739.271173524,11485018.615017144,3040393.417957778,4103053.2084540036,6093787.408351751,7315327.687723216,3365654.880078188,3755900.8506880114,12892012.337780425,4771455.7784214,5349910.20930727,
